id,image_name,zoning_id,zoning_zty
30,data/austin_30.jpg,400374361,PUD
61,data/austin_61.jpg,400398641,I-RR
95,data/austin_95.jpg,400531694,PUD
98,data/austin_98.jpg,400579321,PUD
107,data/austin_107.jpg,400008155,MF-2
125,data/austin_125.jpg,400374364,PUD
153,data/austin_153.jpg,400374115,PUD
163,data/austin_163.jpg,400374364,PUD
171,data/austin_171.jpg,400579321,PUD
178,data/austin_178.jpg,237010,CS-MU-CO
181,data/austin_181.jpg,130369,SF-2
194,data/austin_194.jpg,400595178,I-RR
196,data/austin_196.jpg,400595178,I-RR
205,data/austin_205.jpg,400374115,PUD
206,data/austin_206.jpg,400374115,PUD
225,data/austin_225.jpg,400579321,PUD
227,data/austin_227.jpg,400443088,CS-CO
267,data/austin_267.jpg,400544102,SF-4A
272,data/austin_272.jpg,400631584,P
316,data/austin_316.jpg,400631584,P
321,data/austin_321.jpg,400399897,GR-CO
322,data/austin_322.jpg,400443381,GR-CO
325,data/austin_325.jpg,400470410,P
354,data/austin_354.jpg,237031,CS
370,data/austin_370.jpg,400595179,I-RR
379,data/austin_379.jpg,215861,AV
399,data/austin_399.jpg,135558,SF-4A-CO
430,data/austin_430.jpg,215860,AV
433,data/austin_433.jpg,138223,DR
436,data/austin_436.jpg,138223,DR
474,data/austin_474.jpg,215861,AV
483,data/austin_483.jpg,235909,P
495,data/austin_495.jpg,121030,CS-MU-CO
500,data/austin_500.jpg,127476,SF-2
512,data/austin_512.jpg,127459,SF-2
517,data/austin_517.jpg,400443303,I-RR
534,data/austin_534.jpg,215861,AV
539,data/austin_539.jpg,215860,AV
597,data/austin_597.jpg,215860,AV
599,data/austin_599.jpg,215860,AV
603,data/austin_603.jpg,225632,LI-CO-NP
604,data/austin_604.jpg,225620,IP-CO-NP
617,data/austin_617.jpg,212984,GR-CO
619,data/austin_619.jpg,137808,MF-3
642,data/austin_642.jpg,128073,RR
650,data/austin_650.jpg,137944,PUD
659,data/austin_659.jpg,215860,AV
664,data/austin_664.jpg,215860,AV
670,data/austin_670.jpg,400531180,LI-PDA-NP
676,data/austin_676.jpg,124617,SF-2-NP
680,data/austin_680.jpg,133030,SF-3-NP
693,data/austin_693.jpg,400446405,SF-3
699,data/austin_699.jpg,128075,RR
